Age,Gender,NPS,ChurnLabel,PurchaseFrequency,PurchaseValue,SubscriptionPlan,WebsitePageViews,WebsiteTimeSpent,EngagementMetricsLogins,EngagementMetricsFrequency,FeedbackRating,MarketingCommunicationNoOfEmails,MarketingCommunicationOpenClickDiff,MarketingCommunicationSentOpenDiff,ServiceInteractions_Call,ServiceInteractions_Email,ServiceInteractions_Chat,PaymentHistoryNoOfLatePayments,ClickstreamData_Click,ClickstreamData_Add to Cart,ClickstreamData_Search,SubscriptionDuration,FirstInteractionDate,LastInteractionDate,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
44,0,2,0,54,6575.43,4,84,20,9,1,1,4,405.0,274.0,0,0,1,9,20,9,13,763,2020-11-19,2020-11-19,771,486,6575.43,1,4,5,10,Loyal
65,1,1,1,32,3716.22,5,82,22,30,1,5,8,59.0,161.0,3,3,4,50,12,17,19,226,2019-02-15,2022-10-28,63,960,3716.22,3,5,4,12,Loyal
37,1,0,0,13,2619.99,1,95,79,26,2,1,5,67.0,1316.0,1,3,0,6,5,4,2,312,2020-02-24,2022-11-29,31,338,2619.99,4,3,3,10,Loyal
63,1,9,0,16,2454.54,13,20,29,9,1,1,1,354.0,252.0,1,0,1,10,3,2,3,282,2020-10-28,2021-06-04,574,144,2454.54,1,2,3,6,At_Risk
24,1,8,0,28,2392.24,9,75,50,17,1,4,4,487.0,64.0,6,4,5,13,12,12,3,436,2019-02-03,2022-12-18,12,476,2392.24,5,4,3,12,Loyal
24,1,3,0,43,5457.57,12,98,78,8,2,1,7,0.0,13.0,3,4,5,12,7,6,5,279,2019-06-08,2022-10-11,80,344,5457.57,3,3,5,11,Loyal
26,1,2,0,35,5563.77,17,59,78,8,1,2,4,10.0,198.0,3,3,5,9,18,15,17,983,2019-01-03,2022-10-05,86,280,5563.77,3,3,5,11,Loyal
54,0,1,1,44,2373.81,19,42,21,21,0,5,3,86.0,379.0,5,1,5,42,8,5,3,135,2019-12-27,2022-11-08,52,924,2373.81,3,5,3,11,Loyal
64,1,1,1,46,3402.76,1,86,22,6,1,1,9,97.0,636.0,14,6,14,78,14,13,19,91,2019-01-18,2022-12-18,12,276,3402.76,5,3,4,12,Loyal
53,1,3,1,2,716.08,14,59,5,9,0,1,9,114.0,603.0,11,12,9,71,9,5,9,900,2019-04-15,2022-11-24,36,18,716.08,4,1,1,6,At_Risk
68,0,0,1,10,659.85,12,7,11,19,0,4,4,56.0,167.0,13,14,14,64,10,12,4,402,2019-04-17,2022-12-30,0,190,659.85,5,2,1,8,At_Risk
53,0,4,1,20,2667.77,0,91,56,28,2,5,6,9.0,696.0,6,7,2,10,7,3,15,66,2019-03-30,2022-07-18,165,560,2667.77,2,4,3,9,At_Risk
56,0,1,1,44,4648.85,5,40,15,16,1,5,1,367.0,248.0,4,10,12,108,20,14,12,375,2019-07-10,2022-12-21,9,704,4648.85,5,4,5,14,Premium
22,1,2,1,12,1819.05,14,90,1,13,0,4,8,244.0,42.0,13,15,18,60,0,2,2,499,2019-01-26,2022-12-25,5,156,1819.05,5,2,2,9,At_Risk
26,1,0,1,25,2251.66,14,37,19,19,0,5,2,13.0,8.0,7,3,8,71,11,16,14,570,2019-04-10,2022-12-27,3,475,2251.66,5,4,3,12,Loyal
52,0,3,1,37,2618.41,7,64,28,20,2,1,4,533.0,13.0,12,10,9,38,16,6,11,480,2019-03-31,2022-11-25,35,740,2618.41,4,4,3,11,Loyal
46,0,3,1,42,2835.98,13,63,18,30,0,2,6,36.0,337.0,11,11,22,57,1,5,10,36,2019-01-11,2022-12-28,2,1260,2835.98,5,5,3,13,Loyal
68,0,6,0,56,5105.84,10,28,69,26,0,4,4,202.0,563.0,1,5,5,10,0,4,1,123,2019-01-04,2022-09-26,95,1456,5105.84,2,5,5,12,Loyal
39,1,0,1,30,3662.45,17,71,35,4,0,1,1,371.0,586.0,6,11,8,78,11,13,9,324,2019-06-03,2022-12-21,9,120,3662.45,5,2,4,11,Loyal
32,1,2,1,61,3842.04,13,35,25,8,1,2,3,702.0,276.0,11,13,13,43,14,20,13,885,2019-02-11,2022-07-19,164,488,3842.04,2,4,4,10,Loyal
31,1,4,0,24,3474.34,1,38,33,20,2,5,1,584.0,128.0,5,2,0,6,8,11,11,206,2019-09-25,2022-03-15,290,480,3474.34,1,4,4,9,At_Risk
19,0,2,1,5,319.33,12,5,3,14,2,4,1,30.0,452.0,9,15,11,60,4,3,1,6,2019-02-20,2022-10-08,83,70,319.33,3,1,1,5,Lost
67,0,2,1,5,195.38,14,28,15,13,0,3,8,156.0,87.0,6,0,5,66,4,13,9,504,2019-02-01,2022-09-30,91,65,195.38,3,1,1,5,Lost
41,1,3,0,18,1081.99,5,77,38,28,1,1,3,198.0,1208.0,6,5,5,6,16,13,15,493,2019-01-18,2022-12-22,8,504,1081.99,5,4,1,10,Loyal
68,1,3,1,23,2411.31,6,99,18,6,2,3,6,54.0,859.0,1,2,4,5,4,2,0,369,2019-04-26,2022-04-25,249,138,2411.31,1,2,3,6,At_Risk
32,1,3,1,1,338.76,6,3,28,20,1,1,3,645.0,322.0,5,2,11,59,15,15,18,256,2019-02-23,2022-05-26,218,20,338.76,1,1,1,3,Lost
66,1,0,1,24,1390.79,13,13,15,17,1,5,4,5.0,348.0,5,12,7,47,16,14,16,183,2019-02-04,2022-12-23,7,408,1390.79,5,3,2,10,Loyal
55,1,0,0,31,3265.19,5,3,71,19,1,5,3,65.0,1264.0,2,5,3,5,10,10,8,278,2019-01-31,2022-10-10,81,589,3265.19,3,4,4,11,Loyal
62,1,4,0,12,52.69,2,3,35,9,1,4,3,25.0,8.0,2,4,3,7,10,20,18,151,2019-03-25,2022-07-10,173,108,52.69,2,1,1,4,Lost
58,0,0,1,64,3888.9,1,94,2,22,0,4,7,221.0,236.0,11,12,16,89,10,6,9,24,2019-03-01,2022-12-21,9,1408,3888.9,5,5,4,14,Premium
21,0,2,0,55,5241.93,15,89,35,13,0,3,9,175.0,69.0,4,7,8,10,0,1,3,126,2019-01-22,2022-12-06,24,715,5241.93,4,4,5,13,Loyal
68,0,0,1,60,4678.67,7,80,31,18,0,3,9,143.0,509.0,10,20,15,49,8,12,8,23,2019-01-11,2022-12-29,1,1080,4678.67,5,5,5,15,Premium
50,0,3,1,1,592.7,17,67,31,3,2,2,4,10.0,690.0,9,4,12,71,6,7,6,10,2019-02-10,2022-11-08,52,3,592.7,3,1,1,5,Lost
31,1,2,1,24,1280.04,9,87,25,28,1,1,3,287.0,222.0,19,17,21,71,1,1,4,849,2019-01-07,2022-12-24,6,672,1280.04,5,4,2,11,Loyal
23,0,1,1,18,1278.94,17,74,29,5,2,2,1,11.0,133.0,5,10,5,35,16,13,9,266,2019-01-14,2022-11-07,53,90,1278.94,3,1,2,6,At_Risk
38,1,9,0,60,4965.69,2,22,34,30,2,1,2,63.0,171.0,4,8,4,7,4,7,10,29,2019-05-06,2022-09-27,94,1800,4965.69,2,5,5,12,Loyal
68,1,2,0,41,5026.53,17,79,26,15,0,1,5,85.0,359.0,4,7,4,76,14,19,13,206,2019-02-24,2022-11-22,38,615,5026.53,4,4,5,13,Loyal
58,0,1,0,54,2711.71,17,38,20,17,0,1,1,11.0,266.0,2,3,3,7,0,1,5,12,2019-06-14,2022-04-24,250,918,2711.71,1,5,3,9,At_Risk
67,0,3,1,24,2606.04,9,99,7,1,2,3,7,258.0,248.0,8,11,13,83,6,9,9,98,2019-01-16,2022-11-29,31,24,2606.04,4,1,3,8,At_Risk
21,0,2,0,32,5171.41,7,43,38,15,0,1,5,14.0,536.0,2,0,3,10,17,9,8,294,2019-10-25,2021-02-16,682,480,5171.41,1,4,5,10,Loyal
47,0,9,0,29,3291.54,8,100,59,9,2,5,4,221.0,22.0,6,4,4,8,19,10,20,1,2019-02-15,2022-07-27,156,261,3291.54,2,3,4,9,At_Risk
20,0,2,1,32,4465.23,14,79,14,30,1,1,5,4.0,544.0,7,16,14,52,5,8,8,820,2019-02-04,2022-12-16,14,960,4465.23,5,5,5,15,Premium
66,0,3,1,13,2358.49,10,21,16,15,1,3,9,198.0,172.0,1,2,3,74,8,8,14,252,2019-03-19,2022-12-27,3,195,2358.49,5,2,3,10,Loyal
47,0,2,1,24,1858.6299999999999,13,30,18,26,1,1,9,9.0,938.0,8,6,8,53,3,1,5,188,2019-06-08,2022-11-13,47,624,1858.6299999999999,3,4,2,9,At_Risk
35,0,7,0,12,892.84,2,12,69,26,0,1,3,191.0,472.0,6,3,3,8,15,12,17,1066,2019-02-16,2022-01-28,336,312,892.84,1,3,1,5,Lost
43,1,2,1,29,960.5999999999999,12,92,24,20,0,5,1,86.0,530.0,7,8,11,37,13,11,10,232,2019-07-06,2022-03-31,274,580,960.5999999999999,1,4,1,6,At_Risk
21,0,0,1,24,1891.3,10,89,34,12,0,1,9,125.0,234.0,22,14,23,52,5,4,7,514,2019-02-05,2022-12-11,19,288,1891.3,4,3,2,9,At_Risk
47,1,9,0,46,4477.87,7,25,16,21,2,3,10,186.0,697.0,5,3,7,10,10,9,16,727,2019-05-08,2022-11-18,42,966,4477.87,4,5,5,14,Premium
27,0,8,0,40,4976.9,6,16,78,13,2,1,4,73.0,288.0,1,1,1,10,8,9,4,1292,2021-03-15,2021-12-08,387,520,4976.9,1,4,5,10,Loyal
63,0,0,1,9,586.21,11,22,10,15,1,2,4,11.0,483.0,1,0,0,59,6,6,4,54,2020-10-31,2020-10-31,790,135,586.21,1,2,1,4,Lost
52,0,0,0,14,1151.01,3,9,19,18,2,4,4,150.0,259.0,4,1,4,73,19,10,16,44,2019-01-24,2022-09-10,111,252,1151.01,2,2,1,5,Lost
67,0,1,1,28,1623.94,17,51,12,12,2,2,1,105.0,424.0,13,11,9,61,9,6,9,489,2019-04-29,2022-09-15,106,336,1623.94,2,3,2,7,At_Risk
60,1,3,1,57,3576.18,2,18,23,17,1,2,7,97.0,53.0,4,9,7,68,3,8,5,49,2019-04-01,2022-10-13,78,969,3576.18,3,5,4,12,Loyal
27,0,9,0,68,5864.9,1,95,41,1,1,1,9,23.0,610.0,2,1,2,8,5,3,3,171,2019-11-13,2022-11-16,44,68,5864.9,3,1,5,9,At_Risk
42,1,1,1,47,3474.51,11,54,44,7,2,4,3,411.0,24.0,1,0,1,11,9,9,7,72,2019-02-18,2022-08-02,150,329,3474.51,2,3,4,9,At_Risk
63,1,9,0,53,4198.91,13,81,81,22,1,3,9,208.0,178.0,4,7,6,8,6,8,6,245,2019-01-14,2022-12-04,26,1166,4198.91,4,5,4,13,Loyal
31,0,3,1,33,1210.9,8,6,13,29,0,3,10,494.0,358.0,15,23,16,85,13,10,18,529,2019-01-23,2022-12-14,16,957,1210.9,5,5,2,12,Loyal
62,1,3,1,11,984.51,7,53,29,7,2,2,7,291.0,951.0,12,13,11,97,2,1,1,638,2019-01-19,2022-11-25,35,77,984.51,4,1,1,6,At_Risk
48,0,3,0,10,1557.97,2,19,3,19,2,5,10,24.0,379.0,5,1,3,5,17,14,7,188,2019-10-24,2022-03-11,294,190,1557.97,1,2,2,5,Lost
24,0,2,0,21,800.48,7,3,102,8,1,4,5,7.0,364.0,1,5,6,12,9,6,10,539,2019-10-15,2022-11-06,54,168,800.48,3,2,1,6,At_Risk
60,1,7,0,50,3434.1,6,91,51,19,0,5,4,23.0,434.0,2,4,8,4,19,13,16,13,2019-02-27,2022-07-30,153,950,3434.1,2,5,4,11,Loyal
48,0,0,1,61,3854.17,13,72,2,29,1,1,2,149.0,82.0,24,16,13,78,11,11,5,536,2019-01-03,2022-11-20,40,1769,3854.17,4,5,4,13,Loyal
32,0,2,0,32,1610.87,12,95,48,1,2,5,3,60.0,1160.0,1,6,6,8,12,6,14,1031,2019-05-10,2022-09-21,100,32,1610.87,2,1,2,5,Lost
26,0,7,0,42,4547.1,11,96,23,18,2,5,2,237.0,343.0,1,1,6,10,3,2,1,999,2019-07-13,2022-07-15,168,756,4547.1,2,4,5,11,Loyal
24,0,5,0,39,4744.56,18,36,40,25,2,5,5,86.0,1074.0,0,1,0,11,9,7,5,963,2022-01-14,2022-01-14,350,975,4744.56,1,5,5,11,Loyal
63,0,1,1,40,1457.45,11,79,32,25,1,2,10,168.0,311.0,6,10,6,36,18,14,15,956,2019-02-22,2022-12-09,21,1000,1457.45,4,5,2,11,Loyal
28,1,8,0,1,951.83,8,35,36,23,0,3,4,18.0,602.0,1,1,2,9,12,8,6,262,2019-07-06,2022-12-24,6,23,951.83,5,1,1,7,At_Risk
54,1,2,1,43,4557.71,0,85,23,1,0,5,9,100.0,108.0,4,3,1,102,8,9,8,200,2019-01-08,2022-08-19,133,43,4557.71,2,1,5,8,At_Risk
62,0,3,1,7,72.41,4,36,2,24,2,3,5,165.0,48.0,15,14,18,77,12,19,15,400,2019-02-12,2022-12-05,25,168,72.41,4,2,1,7,At_Risk
24,0,4,0,26,2061.14,5,48,39,21,1,1,7,46.0,809.0,0,1,1,12,9,17,14,739,2021-05-03,2021-10-20,436,546,2061.14,1,4,2,7,At_Risk
30,1,3,1,9,1679.7199999999998,7,96,8,19,1,2,1,362.0,5.0,13,23,14,23,9,6,8,7,2019-01-04,2022-11-14,46,171,1679.7199999999998,3,2,2,7,At_Risk
27,1,2,0,1,72.83,14,90,60,5,0,4,8,345.0,149.0,5,4,3,12,5,3,5,259,2019-05-24,2022-10-12,79,5,72.83,3,1,1,5,Lost
24,0,1,0,56,5013.07,4,24,59,17,1,2,1,1048.0,264.0,5,5,3,7,6,5,8,249,2019-01-07,2022-02-25,308,952,5013.07,1,5,5,11,Loyal
41,1,2,0,60,5857.06,9,33,60,23,1,4,4,99.0,230.0,3,5,4,4,3,1,1,98,2019-03-04,2022-10-06,85,1380,5857.06,3,5,5,13,Loyal
30,1,2,1,51,3483.65,14,5,28,1,2,4,8,1.0,7.0,3,0,1,67,3,1,2,33,2019-05-10,2021-02-21,677,51,3483.65,1,1,4,6,At_Risk
53,0,2,0,19,1217.04,0,79,93,29,2,5,9,180.0,538.0,3,8,5,6,5,6,8,900,2019-03-27,2022-12-30,0,551,1217.04,5,4,2,11,Loyal
43,1,8,0,28,2770.49,1,27,51,29,2,3,1,228.0,480.0,1,1,1,7,21,9,12,47,2019-10-19,2022-09-23,98,812,2770.49,2,5,3,10,Loyal
22,1,0,0,10,435.31,8,63,34,7,2,2,6,170.0,690.0,1,6,9,10,8,5,5,187,2019-01-18,2022-07-27,156,70,435.31,2,1,1,4,Lost
27,1,1,0,41,3175.55,3,31,21,17,1,5,2,0.0,1448.0,3,4,5,13,5,6,9,20,2019-03-05,2022-04-09,265,697,3175.55,1,4,3,8,At_Risk
19,0,2,1,55,3980.41,3,2,31,3,2,2,9,302.0,15.0,13,19,14,80,11,11,12,731,2019-01-11,2022-11-07,53,165,3980.41,3,2,4,9,At_Risk
51,1,3,1,12,554.57,6,70,36,27,2,3,9,30.0,65.0,4,5,9,7,0,1,2,423,2019-06-24,2022-12-17,13,324,554.57,5,3,1,9,At_Risk
22,0,7,0,48,6106.4800000000005,12,3,37,18,2,2,3,58.0,798.0,4,4,5,3,11,10,9,1188,2019-03-13,2022-12-27,3,864,6106.4800000000005,5,5,5,15,Premium
26,1,2,1,31,2404.82,14,10,22,25,1,3,6,136.0,38.0,2,2,1,71,1,0,4,884,2019-12-03,2022-05-31,213,775,2404.82,1,4,3,8,At_Risk
54,0,1,0,18,2675.61,9,70,38,25,2,2,2,5.0,5.0,0,1,1,6,17,15,14,489,2021-03-10,2022-03-26,279,450,2675.61,1,3,3,7,At_Risk
34,0,1,1,14,888.53,19,14,27,30,1,5,5,200.0,0.0,20,12,26,51,18,13,18,270,2019-02-27,2022-12-19,11,420,888.53,5,3,1,9,At_Risk
24,1,0,0,63,4537.09,16,72,65,28,0,3,1,140.0,64.0,6,6,3,3,6,10,10,600,2019-04-02,2022-12-09,21,1764,4537.09,4,5,5,14,Premium
65,1,0,0,19,2387.29,17,2,96,10,1,3,3,150.0,3.0,5,7,4,12,13,11,16,1043,2019-03-01,2022-03-23,282,190,2387.29,1,2,3,6,At_Risk
46,0,5,0,11,3059.9,3,28,99,26,0,1,10,15.0,1109.0,4,3,1,9,15,15,19,558,2019-04-30,2021-06-27,551,286,3059.9,1,3,3,7,At_Risk
59,0,8,0,36,2981.78,14,29,1,29,0,5,9,136.0,108.0,4,1,2,6,2,3,3,148,2019-02-27,2022-08-14,138,1044,2981.78,2,5,3,10,Loyal
60,1,0,0,54,3320.65,14,41,65,8,0,3,9,2.0,105.0,1,7,2,10,1,2,5,417,2019-05-07,2022-09-19,102,432,3320.65,2,3,4,9,At_Risk
28,1,9,0,24,947.93,9,72,63,7,0,1,1,82.0,98.0,2,4,1,8,5,15,13,66,2019-01-15,2022-03-22,283,168,947.93,1,2,1,4,Lost
54,1,1,1,22,2361.34,15,52,22,29,1,3,5,20.0,194.0,4,5,4,63,12,4,7,3,2019-02-09,2022-08-26,126,638,2361.34,2,4,3,9,At_Risk
55,1,9,0,73,5108.6,7,65,22,1,0,1,6,16.0,1045.0,5,2,4,9,3,11,8,23,2019-03-30,2022-06-02,211,73,5108.6,1,1,5,7,At_Risk
53,0,9,0,37,3555.85,4,19,58,20,1,4,5,15.0,76.0,2,6,1,10,11,7,9,204,2019-01-07,2022-12-24,6,740,3555.85,5,4,4,13,Loyal
58,0,3,1,44,2705.92,7,25,16,19,1,1,3,21.0,87.0,0,3,0,83,10,5,9,100,2020-06-13,2021-01-21,708,836,2705.92,1,5,3,9,At_Risk
23,1,6,0,29,2089.7,17,30,53,17,2,5,7,365.0,974.0,5,5,3,4,2,1,0,436,2019-03-09,2022-11-07,53,493,2089.7,3,4,2,9,At_Risk
48,0,2,1,27,3368.15,16,39,24,5,2,3,4,57.0,676.0,3,2,3,51,17,12,18,120,2019-01-10,2022-07-03,180,135,3368.15,2,2,4,8,At_Risk
46,0,1,0,63,4281.17,19,58,76,28,0,5,5,90.0,140.0,2,5,3,8,15,13,22,134,2019-09-12,2022-09-21,100,1764,4281.17,2,5,4,11,Loyal
39,1,8,0,42,3733.3900000000003,11,19,58,17,2,4,2,1.0,44.0,4,7,7,5,16,8,6,266,2019-01-01,2022-07-16,167,714,3733.3900000000003,2,4,4,10,Loyal
46,1,1,1,15,1106.42,9,67,7,30,0,4,4,492.0,314.0,12,7,15,46,3,7,5,126,2019-01-12,2022-12-17,13,450,1106.42,5,3,1,9,At_Risk
42,1,7,0,38,2500.4,2,1,51,30,1,3,1,57.0,405.0,1,4,1,8,7,8,7,916,2019-06-18,2022-10-13,78,1140,2500.4,3,5,3,11,Loyal
28,0,0,1,42,3404.67,3,99,25,20,0,2,1,177.0,76.0,3,1,2,54,7,9,5,103,2020-05-19,2022-10-01,90,840,3404.67,3,5,4,12,Loyal
55,0,1,1,13,1256.78,2,100,1,4,1,2,8,22.0,216.0,14,18,14,65,2,2,0,154,2019-02-26,2022-12-01,29,52,1256.78,4,1,2,7,At_Risk
49,1,3,0,9,835.87,19,21,60,24,2,4,1,0.0,849.0,1,5,7,4,1,2,2,117,2019-02-11,2022-01-08,356,216,835.87,1,2,1,4,Lost
28,1,2,1,45,5024.42,4,55,3,2,1,4,10,386.0,203.0,0,1,2,74,6,6,9,827,2019-01-19,2021-10-06,450,90,5024.42,1,1,5,7,At_Risk
20,1,0,0,3,54.27,15,21,42,2,2,1,2,101.0,12.0,3,4,1,13,3,4,5,771,2019-04-14,2022-10-18,73,6,54.27,3,1,1,5,Lost
36,1,3,1,10,524.4200000000001,1,18,23,14,2,5,2,7.0,11.0,16,21,16,78,9,6,8,448,2019-01-24,2022-12-28,2,140,524.4200000000001,5,2,1,8,At_Risk
61,1,7,0,29,5178.0199999999995,19,7,103,1,2,2,3,53.0,241.0,1,3,2,12,17,10,12,6,2019-10-31,2022-06-29,184,29,5178.0199999999995,2,1,5,8,At_Risk
58,1,0,0,55,3336.3700000000003,3,22,90,13,1,3,7,687.0,602.0,4,3,5,9,8,6,6,232,2019-06-30,2022-05-24,220,715,3336.3700000000003,1,4,4,9,At_Risk
59,0,3,1,23,1531.51,15,76,19,29,1,1,3,590.0,477.0,22,15,20,61,16,12,12,81,2019-01-04,2022-11-17,43,667,1531.51,4,4,2,10,Loyal
28,0,3,1,37,3220.18,0,67,31,4,2,4,7,155.0,326.0,4,4,2,37,14,17,12,451,2019-12-10,2022-11-09,51,148,3220.18,3,2,4,9,At_Risk
68,0,0,0,43,3943.71,0,47,75,23,0,5,9,81.0,374.0,2,1,3,9,3,7,10,123,2019-08-30,2022-10-20,71,989,3943.71,3,5,4,12,Loyal
26,1,9,0,47,2880.55,10,87,35,18,2,3,2,37.0,136.0,1,1,1,7,8,7,5,45,2019-06-22,2022-08-22,130,846,2880.55,2,5,3,10,Loyal
42,0,0,1,10,1555.55,3,86,28,24,1,3,4,205.0,174.0,6,3,2,54,13,17,16,685,2019-12-07,2022-09-27,94,240,1555.55,2,2,2,6,At_Risk
62,1,6,0,52,5166.29,5,2,79,26,1,2,10,355.0,614.0,6,7,3,10,11,13,20,79,2019-04-26,2022-11-01,59,1352,5166.29,3,5,5,13,Loyal
46,1,3,0,37,3945.46,12,14,5,4,0,1,9,7.0,178.0,6,3,4,5,9,17,11,349,2019-10-03,2022-11-27,33,148,3945.46,4,2,4,10,Loyal
32,1,2,1,22,1491.42,15,87,7,10,2,5,5,193.0,475.0,10,9,5,56,2,3,10,961,2019-02-05,2022-10-18,73,220,1491.42,3,2,2,7,At_Risk
34,1,5,0,51,5778.12,13,96,26,18,0,5,4,5.0,77.0,4,5,8,9,0,1,0,51,2019-02-11,2022-07-29,154,918,5778.12,2,5,5,12,Loyal
49,0,1,1,42,3758.9,9,77,8,12,0,4,6,19.0,178.0,5,12,5,42,8,18,12,191,2019-03-06,2022-09-30,91,504,3758.9,3,4,4,11,Loyal
40,0,7,0,47,3189.04,17,37,67,4,0,1,3,480.0,308.0,1,1,0,7,10,6,6,322,2019-01-02,2022-05-03,241,188,3189.04,1,2,3,6,At_Risk
47,1,3,0,45,5671.5599999999995,16,51,54,28,2,3,10,385.0,92.0,2,3,1,9,12,20,15,656,2019-09-09,2022-08-03,149,1260,5671.5599999999995,2,5,5,12,Loyal
39,1,2,1,36,2103.49,3,8,6,12,1,5,2,44.0,50.0,7,9,9,54,1,0,0,246,2019-02-06,2022-10-05,86,432,2103.49,3,3,2,8,At_Risk
21,1,1,1,48,2627.58,8,75,9,11,2,2,2,9.0,606.0,15,13,7,79,8,14,11,868,2019-01-18,2022-05-23,221,528,2627.58,1,4,3,8,At_Risk
52,0,3,1,7,708.19,19,44,9,19,1,3,4,32.0,1073.0,3,5,3,73,13,10,13,249,2019-03-03,2022-09-22,99,133,708.19,2,2,1,5,Lost
24,1,1,1,12,1218.69,8,27,26,16,0,2,9,331.0,154.0,15,19,22,63,8,2,14,21,2019-02-04,2022-11-20,40,192,1218.69,4,2,2,8,At_Risk
24,1,0,1,29,1868.0900000000001,2,31,2,26,1,4,10,5.0,86.0,10,16,12,52,10,8,10,151,2019-01-08,2022-11-27,33,754,1868.0900000000001,4,4,2,10,Loyal
64,0,8,0,26,1959.5500000000002,4,26,14,14,2,1,3,47.0,267.0,1,2,2,6,10,14,7,20,2019-12-25,2022-12-10,20,364,1959.5500000000002,4,3,2,9,At_Risk
50,0,1,1,8,1663.67,0,83,7,29,2,3,9,73.0,1156.0,7,8,9,50,9,18,11,1233,2019-02-11,2022-09-22,99,232,1663.67,2,2,2,6,At_Risk
52,1,6,0,55,4788.8,12,7,85,16,1,5,7,108.0,590.0,2,8,2,6,13,14,8,235,2019-04-25,2022-11-04,56,880,4788.8,3,5,5,13,Loyal
39,1,2,1,31,2294.72,3,62,13,5,0,5,2,40.0,992.0,12,12,11,79,3,2,9,715,2019-01-02,2022-11-17,43,155,2294.72,4,2,3,9,At_Risk
56,1,6,0,45,5264.96,5,55,60,14,0,4,4,225.0,122.0,4,6,2,5,14,14,17,629,2019-12-02,2022-07-04,179,630,5264.96,2,4,5,11,Loyal
39,1,0,1,57,5725.37,2,56,35,1,0,3,4,146.0,542.0,4,1,3,65,8,8,14,109,2019-07-14,2022-11-21,39,57,5725.37,4,1,5,10,Loyal
36,0,8,0,61,4996.36,7,71,65,30,2,2,6,4.0,178.0,0,2,0,11,23,16,9,56,2019-05-11,2022-08-08,144,1830,4996.36,2,5,5,12,Loyal
29,0,2,0,21,3353.75,16,58,56,27,0,5,8,167.0,1118.0,5,6,4,7,10,15,9,934,2019-06-22,2022-07-03,180,567,3353.75,2,4,4,10,Loyal
27,0,1,0,46,4655.86,11,7,92,12,1,2,3,154.0,117.0,8,5,4,9,20,12,16,27,2019-03-02,2022-10-19,72,552,4655.86,3,4,5,12,Loyal
39,1,0,1,37,3146.35,6,20,32,19,0,3,3,2.0,230.0,15,10,22,55,1,2,1,908,2019-01-14,2022-11-10,50,703,3146.35,3,4,3,10,Loyal
25,0,1,1,53,3948.85,16,85,13,3,0,1,6,59.0,495.0,8,6,7,80,1,1,0,233,2019-01-14,2022-12-10,20,159,3948.85,4,2,4,10,Loyal
46,0,0,0,3,1020.0999999999999,6,94,21,18,1,4,8,175.0,610.0,2,2,5,6,20,10,14,247,2019-03-30,2022-08-18,134,54,1020.0999999999999,2,1,1,4,Lost
42,0,0,1,31,2571.98,8,77,30,19,1,1,3,20.0,802.0,0,1,0,60,10,15,4,135,2022-10-11,2022-10-11,80,589,2571.98,3,4,3,10,Loyal
30,1,2,0,50,3436.21,7,84,59,23,2,2,4,309.0,398.0,6,1,2,3,2,3,2,35,2019-03-19,2022-08-10,142,1150,3436.21,2,5,4,11,Loyal
61,0,0,0,33,3278.34,0,58,39,13,1,1,4,28.0,664.0,1,4,6,6,13,17,15,47,2019-05-27,2022-08-27,125,429,3278.34,2,3,4,9,At_Risk
30,0,9,0,71,5462.3099999999995,1,5,38,21,0,1,8,0.0,549.0,2,3,1,11,1,3,2,606,2019-01-06,2021-12-07,388,1491,5462.3099999999995,1,5,5,11,Loyal
53,1,2,1,57,5692.01,12,28,22,9,1,1,6,42.0,86.0,9,11,11,62,1,0,0,0,2019-03-10,2022-10-14,77,513,5692.01,3,4,5,12,Loyal
47,1,6,0,40,4522.87,16,30,33,18,0,4,8,146.0,25.0,3,2,3,7,1,0,0,330,2020-01-01,2022-05-04,240,720,4522.87,1,4,5,10,Loyal
39,1,0,1,47,4529.12,0,75,32,29,1,4,2,0.0,312.0,2,3,5,59,5,3,9,418,2019-04-29,2022-12-18,12,1363,4529.12,5,5,5,15,Premium
66,0,3,1,21,456.11,18,5,7,9,0,4,7,1.0,425.0,11,19,10,32,7,5,5,123,2019-01-08,2022-10-10,81,189,456.11,3,2,1,6,At_Risk
55,1,2,0,29,3131.12,2,20,12,22,1,3,9,65.0,454.0,0,1,2,12,6,10,11,867,2021-05-24,2022-07-02,181,638,3131.12,2,4,3,9,At_Risk
67,0,0,0,15,624.8199999999999,5,86,15,19,1,2,10,112.0,1144.0,2,1,3,5,17,18,14,181,2019-01-25,2022-01-20,344,285,624.8199999999999,1,3,1,5,Lost
60,0,5,0,31,4486.94,11,82,61,23,2,4,10,60.0,151.0,7,7,4,10,5,7,14,1325,2019-05-15,2022-08-25,127,713,4486.94,2,4,5,11,Loyal
55,1,1,1,48,2865.67,6,82,12,19,0,2,2,34.0,50.0,13,10,10,57,18,21,10,1275,2019-01-02,2022-11-19,41,912,2865.67,4,5,3,12,Loyal
56,0,5,0,53,4960.66,16,62,81,11,1,1,7,842.0,113.0,0,1,4,5,11,8,7,284,2019-05-04,2021-08-03,514,583,4960.66,1,4,5,10,Loyal
69,1,0,1,57,4392.04,0,61,27,16,0,1,6,277.0,380.0,2,2,3,81,5,2,3,513,2020-10-23,2022-12-02,28,912,4392.04,4,5,5,14,Premium
